Model,MAE (MW),RMSE (MW),R²,Environment,Training Time (s),Source
Gradient Boosting,4411.087508126892,5127.381740445101,0.5538415571714121,Local,,
LightGBM (PyCaret Tuned),4413.898972929827,5144.764047200601,0.550811391350452,Local,,
Random Forest (GridSearch),4430.489135049718,5153.756209493373,0.5492398103313718,Local,,
Linear Regression (Baseline),4628.761386179389,5445.94395732069,0.4966800480515561,Local,,
GradientBoosting (Optimized),4410.657280793913,5130.260623866109,0.5533404052004705,,,Optimized
